text,label,timestamp
Awesome,positive,09-03-2025 11:57
Awesome,positive,09-03-2025 11:57
interesting,positive,09-03-2025 11:57
interesting,positive,09-03-2025 11:57
could have been more interesting,negative,09-03-2025 11:57
could have been more interesting,negative,09-03-2025 11:57
not interesting,negative,09-03-2025 11:57
not interesting,negative,09-03-2025 11:57
bored,negative,09-03-2025 11:57
bored,negative,09-03-2025 11:57
super,positive,09-03-2025 11:57
super,positive,09-03-2025 11:57
Fine,positive,09-03-2025 11:57
Fine,positive,2025-03-09 12:02:30
